Frame;DeltaTime(ms);FPS(1.0 / deltaTime);Particle Count(int)
1183;0.8916;1122;0
1184;1.9041;525;0
1185;1.1925;839;0
1186;1.157;864;0
1187;1.8895;529;0
1188;1.1961;836;0
1189;1.1468;872;0
1190;2.1609;463;0
1191;1.1987;834;0
1192;1.5166;659;0
1193;1.5189;658;0
1194;1.2251;816;0
1195;1.1221;891;0
1196;1.9221;520;0
1197;1.1868;843;0
1198;1.7803;562;0
1199;1.1803;847;0
1200;1.2016;832;0
1201;1.1344;882;0
1202;1.7899;559;0
1203;1.4936;670;0
1204;0.877;1140;0
1205;1.8368;544;0
1206;1.2196;820;0
1207;1.156;865;0
1208;2.0881;479;0
1209;0.8955;1117;0
1210;1.1724;853;0
1211;1.7734;564;0
1212;1.2198;820;0
1213;1.1075;903;0
1214;2.1171;472;0
1215;0.904;1106;0
1216;1.1665;857;0
1217;1.8499;541;0
1218;1.2153;823;0
1219;1.4664;682;0
1220;1.4488;690;0
1221;1.1837;845;0
1222;1.1578;864;0
1223;1.847;541;0
1224;1.3399;746;0
1225;1.0969;912;0
1226;1.7834;561;0
1227;1.2356;809;0
1228;1.4851;673;0
1229;1.4667;682;0
1230;1.1909;840;0
1231;1.0829;923;0
1232;1.8291;547;0
1233;1.1792;848;0
1234;1.1234;890;0
1235;2.188;457;0
1236;0.8906;1123;0
1237;1.1125;899;0
1238;1.8324;546;0
1239;1.1751;851;0
1240;1.1221;891;0
